site_id,match_coverage,n_matched_treat,cross_border_share,frac_treat_0_neighbors,frac_treat_1_neighbor,frac_treat_2plus_neighbors,control_supply_ratio,avg_matches_per_treat,avg_control_reuse,avg_extrapolation,avg_abs_smd_before,avg_abs_smd_after,abs_smd_after_elevation,abs_smd_after_slope,abs_smd_after_treecover2000,abs_smd_after_travel_time,abs_smd_after_log_pop_density,abs_smd_after_human_footprint,abs_smd_after_ag_suitability,n_covariates_balanced,avg_abs_smd_improvement,n_covariates_improved
214,0.12578616352201258,20.0,0.0,0.8301886792452831,0.1320754716981132,0.03773584905660377,0.4779874213836478,1.3,2.888888888888889,0.14016172506738545,1.4153566879511215,0.26727425126353865,0.5895904283342142,0.2438899134466164,0.06998408054098507,0.17451340280343763,0.604377856580741,0.042612398314337975,0.1459516788244384,4.0,1.1480824366875828,6.0
306522,0.5944444444444444,107.0,0.0,0.3888888888888889,0.11666666666666667,0.49444444444444446,1.0,1.6728971962616823,5.264705882352941,0.01746031746031746,1.5283392371682376,0.1623530563749886,0.41322576896379226,0.16680175418052615,0.19575731620084333,0.027910068084215835,0.02318624294689567,0.2230581708145557,0.08653207343409139,5.0,1.3659861807932487,7.0
555786096,1.0,19.0,0.05263157894736842,0.0,0.0,1.0,1.5789473684210527,2.0,1.7272727272727273,0.0,1.4859403100072115,0.10168298972296257,0.13666148130349698,0.05127889396944218,0.3274877921234061,0.10596446209081967,0.007872957000929706,0.07795229680996107,0.004563044762682352,6.0,1.3842573202842487,7.0
555599263,0.9920039980009995,1985.0,0.0,0.0079960019990005,0.009995002498750625,0.9820089955022488,5.631184407796102,1.9848866498740554,4.3392070484581495,0.0,0.24970327473715476,0.04200643434263337,0.18150310632362526,0.06869490743173198,9.469937995770637e-05,0.040377410000735935,0.0,0.0033749172623827443,0.0,7.0,0.2076968403945214,4.0
555759266,1.0,219.0,0.0,0.0,0.0045662100456621,0.9954337899543378,9.114155251141552,1.995433789954338,2.8940397350993377,0.0,0.18125294073697543,0.060320516506530523,0.09170072810552111,0.00570891347865389,0.11032136171779135,0.055641533204381054,0.00634924182030006,0.03528267620433369,0.1172391610147325,7.0,0.12093242423044494,6.0
9436,1.0,38.0,0.0,0.0,0.0,1.0,29.736842105263158,2.0,1.4901960784313726,0.0,0.6343161125908016,0.03620839721857152,0.08937805698000804,0.07888684186759544,0.0,0.04299085929143361,0.004210372248260361,0.0379926501427032,0.0,7.0,0.5981077153722298,5.0
1250,1.0,2491.0,0.0,0.0,0.0004014452027298274,0.9995985547972702,4.224809313528703,1.9995985547972701,5.880755608028335,0.0,0.3261994233667106,0.046234464019306705,0.0782369331242237,0.031988274669082314,0.0,0.14543418249293433,0.0001365255726430482,0.06535220440491993,0.0024931278713436022,7.0,0.27996495934740395,6.0
68399,1.0,30.0,0.0,0.0,0.0,1.0,25.1,2.0,1.1111111111111112,0.0,0.42776598036289265,0.06583253093932998,0.04802502292197405,0.022949618117600986,0.022278749187156954,0.1290971515022165,0.0043714811736314555,0.1562946868984025,0.0778110067743274,7.0,0.3619334494235627,6.0
11116292,0.6666666666666666,6.0,0.0,0.0,0.0,1.0,0.3888888888888889,1.1666666666666667,1.0,0.0,1.2349386710450205,0.30049132220477087,0.46351621868045295,0.9960782743381085,0.10562469469954436,0.11996385463502303,0.04622332891161998,0.14530332347866878,0.22672956068997857,4.0,0.9344473488402498,7.0
67967,0.5,17.0,0.19230769230769232,0.5,0.14705882352941177,0.35294117647058826,1.2352941176470589,1.5294117647058822,1.7333333333333334,0.008403361344537815,1.5555679362886714,0.18298530420842213,0.0627737982438592,0.41515298082401475,0.047137714891559594,0.1695712687409315,0.05219237733439314,0.2457329425554214,0.2883360468687752,4.0,1.3725826320802492,7.0
555512003,0.9966442953020134,594.0,0.0,0.003355704697986577,0.006711409395973154,0.9899328859060402,8.973154362416107,1.9932659932659933,3.4926253687315634,0.0,0.5024230885806379,0.05015106887126824,0.1308270927506335,0.11800667169617614,0.042797019449118956,0.04997019123744091,0.0,0.009456506965508158,0.0,7.0,0.45227201970936953,6.0
555752316,,,,,,,,,,,,,,,,,,,,,,
